,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
Gldc,0,1.27874004005259,0.91,0.377,0
Acly,0,1.2228041530951,0.913,0.412,0
Etnppl,0,1.41123806852237,0.746,0.254,0
Cyp2f2,0,1.22385713926916,0.967,0.49,0
Fn1,0,1.09968632136305,0.964,0.49,0
Pigr,0,1.39259396928654,0.976,0.532,0
Pck1,0,1.37150665274929,0.959,0.575,0
Fga,0,1.09190681293244,0.984,0.684,0
Cps1,5.29541809445801e-302,1.07100796424298,0.984,0.574,8.69189926024338e-298
Elovl2,4.73305700039392e-299,1.18318078717504,0.901,0.403,7.76883976044658e-295
Sdc1,4.878540496298e-288,1.27356195793395,0.798,0.309,8.00763637062354e-284
G6pc,2.92845479187856e-287,1.18229318154668,0.841,0.345,4.80676569538946e-283
Hal,7.3614803641895e-286,1.12733850514415,0.89,0.401,1.20831338697806e-281
Dpyd,4.73816775447133e-285,1.21774373531192,0.853,0.369,7.77722855218924e-281
Cyp4v3,3.20336125276658e-281,1.09436839706987,0.94,0.478,5.25799716029106e-277
Errfi1,4.8799720029086e-277,1.01002126447508,0.965,0.615,8.00998604557417e-273
Mug2,1.14872187417292e-271,1.02820413124724,0.842,0.335,1.88551208426743e-267
Cp,6.53873189434093e-271,1.00308840249646,0.959,0.505,1.07326745313712e-266
Cpn2,3.38484330894006e-268,1.28527055140639,0.737,0.269,5.55588180729421e-264
Hsd17b13,1.01337971992237e-261,1.05000239649782,0.896,0.416,1.66336147228058e-257
Slc7a2,6.16068689313091e-261,1.18847830547243,0.78,0.3,1.01121514663851e-256
Maob,9.88976360775362e-258,1.10808253485923,0.849,0.368,1.62330579857668e-253
Hc,7.80153860320319e-251,1.07690390443952,0.799,0.315,1.28054454632977e-246
Cfh,1.42367317999953e-249,1.02159188235189,0.901,0.43,2.33681715765122e-245
Slc38a3,8.84801994786229e-249,1.01754241062206,0.903,0.431,1.45231399424212e-244
Klkb1,2.84877278645142e-233,1.06079068693892,0.795,0.328,4.67597565168136e-229
Abcb11,3.71012629057288e-215,1.06013539005746,0.737,0.296,6.08980129334633e-211
Slc2a2,6.59436641913979e-214,1.01795186564982,0.777,0.33,1.0823993040376e-209
St6gal1,4.52694645374104e-212,1.42238947258751,0.474,0.136,7.43052990917054e-208
Ptprf,9.65010080276686e-205,1.11012244422382,0.618,0.219,1.58396754576615e-200
Fads1,9.51997655573658e-203,1.09679334865136,0.717,0.303,1.5626089518586e-198
Cmah,7.33643582812285e-197,1.24868306667687,0.521,0.168,1.20420257682808e-192
Abat,8.86573432328685e-197,1.07287046606248,0.69,0.284,1.4552216318243e-192
